"Language_ID","feB","feZ","fFBeD","fFBeS","fFByD","fFByS","fFZeD","fFZeS","fFZyD","fFZyS","fMBeD","fMBeS","fMByD","fMByS","fMZeD","fMZeS","fMZyD","fMZyS","fyB","fyZ","meB","meZ","mFBeD","mFBeS","mFByD","mFByS","mFZeD","mFZeS","mFZyD","mFZyS","mMBeD","mMBeS","mMByD","mMByS","mMZeD","mMZeS","mMZyD","mMZyS","myB","myZ"
"p_chuu1238_612","mwongeya-","napa-","napa-","mwongeya-","mwáániinúk","mwongeya-","napa-","mwongeya-","mwáániinúk","mwongeya-","napa-","mwongeya-","mwáániinúk","mwongeya-","napa-","mwongeya-","mwáániinúk","mwongeya-","mwongeya-","mwáániinúk","napa-","feefina-","feefina-","napa-","feefina-","mwáániinúk","feefina-","napa-","feefina-","mwáániinúk","feefina-","napa-","feefina-","mwáániinúk","feefina-","napa-","feefina-","mwáániinúk","mwáániinúk","feefina-"
"p_comm1246_812","nahˑ-hänsʼ","na-meseʼ","neet-kohˑʼ-kw","n'-dun-oo-yomeʼ","neet-kohˑʼ-kw'","n'-dun-oo-yomeʼ","neet-kohˑ-kw'","n'-dun-oo-yomeʼ","neet-kohˑʼ-kw'","n'-dun-oo-yomeʼ","neet-kohˑ-kw'","n'-dun-oo-yomeʼ","neet-kohˑ-kw'","n'-dun-oo-yomeʼ","neet-kohˑʼ-kw","n'-dun-oo-yomeʼ","neet-kohˑʼ-kw'","n'-dunʼ-oo-yomeʼ","nahˑ-eeseʼ-u-missʼ","nahˑ-eeseʼ-u-missʼ","nahˑ-hänsʼ","na-meseʼ","n'-do-kwä-yomeʼ","n'-dun-oo-yomeʼ","n'-do-kwä-yomeʼ","nee-mäʼ-tus","n'-doh-kwä-yomeʼ","nee-mäʼ-tus","n'-dohˑ-kwä-yomeʼ","nee-mäʼ-tns","n'-doh-kwä-yomeʼ","nee-mäʼ-tus","n'-doh-kwä-yomeʼ","nee-mäʼ-tus","n'-dohˑ-kwä-yomeʼ","nee-mäʼ-tus","n'-dohˑ-kwä-yomeʼ","nee-mäʼ-tus","nahˑ-eeseʼ-u-missʼ","nahˑ-eeseʼ-u-missʼ"
"p_cota1241_613","maama","kakay","kakay","maama","hadi","maama","kakay","maama","hadi","maama","kakay","maama","hadi","maama","kakay","maama","hadi","maama","maama","hadi","kakay","tebay","tebay","kakay","tebay","hadi","tebay","kakay","tebay","hadi","tebay","kakay","tebay","hadi","tebay","kakay","tebay","hadi","hadi","tebay"
"p_cree1270_802","chu-chihlʼ-wa","chu-hläʼ-hä","chu-hläʼ-hä","chu-chihlʼ-wä","chu-chǔʼ-se","chu-chihlʼ-wä","chu-pǔʼ-se","chuhlʼ-kǔ-cheʼ","chu-pǔʼ-se","chuhlʼ-kǔ-cheʼ","um-os-sǔsʼ-wä","um-os-sǔsʼ-wä","um-os-sǔsʼ-wä","um-os-sǔsʼ-wä","chu-hläʼ-hä","chu-chilʼ-wä","chu-chǔʼ-se","chu-chihlʼ-wä","chu-chihlʼ-wä","chu-chǔʼ-se","chu-hlä-hä","chu-wunʼ-wä","chu-wunʼ-wä","chu-chihlʼ-wä","chu-wunʼ-wä","um-it-te-chäˑkeʼ-to","chu-pǔʼ-se","chuhlʼ-kǔ-cheʼ","chu-pǔʼ-se","chuhlʼ-kǔ-cheʼ","chuch-husʼ-te","chup-pǔʼ-che","chuch-husʼ-te","chup-pǔʼ-che","chu-wunʼ-wä","chu-hläʼ-hä","chu-wunʼ-wä","chu-chǔʼ-se","chu-chǔʼ-se","chu-wunʼ-wä"
"p_cree1272_801","neesh-taseʼ","ne-mishʼ","ne-mishʼ","neesh-taseʼ","ne-she-mishʼ","ne-she-mishʼ","n'-däʼ-koase","neeʼ-ta-moos","n'-jäʼ-koase","neeʼ-ta-moos","n'-däʼ-koase","neeʼ-ta-moos","n'-däʼ-koase","neeʼ-ta-moos","ne-mishʼ","neesh-taseʼ","ne-she-mishʼ","ne-she-mishʼ","ne-she-mishʼ","ne-she-mishʼ","neesh-taseʼ","ne-mishʼ","ne-mishʼ","neesh-taseʼ","ne-she-mishʼ","ne-she-mishʼ","neeʼ-ta-moos","neesʼ-chäs","neeʼ-ta-moos","neesʼ-chäs","neeʼ-ta-moos","neest-chäsʼ","neeʼ-ta-moos","neest-chäsʼ","ne-mishʼ","neesh-taseʼ","ne-she-mishʼ","ne-she-mishʼ","ne-she-mishʼ","ne-she-mishʼ"
"p_crow1244_803","bä-zäʼ-na","bus-weʼ-nä","bus-weʼ-nä","bä-zäʼ-na","bä-soʼ-ka","bä-chǔʼ-ka","eʼ-ke-ä","ah-hˑaʼ","eʼ-ke-ä","ah-hˑaʼ","näkʼ-me-ä","bot-soʼ-kǎ","näkʼ-me-ä","bot-soʼ-kǎ","bus-weʼ-nä","bä-zäʼ-na","bä-soʼ-ka","bä-chǔʼ-ka","bä-chǔʼ-ka","bä-soʼ-ka","meekʼ-a","bä-zaʼ-kät","bä-zäʼ-kät","bä-zäʼ-na","bä-säʼ-chete","bä-chǔʼ-ka","eʼ-ke-ä","ah-hˑaʼ","eʼ-ke-ä","ah-hˑaʼ","näkʼ-me-ä","bot-soʼ-kǎ","näkʼ-me-ä","bot-soʼ-kǎ","bä-zäʼ-kät","meekʼ-a","bä-säʼ-chete","bä-chǔʼ-ka","bä-chǔʼ-ka","bä-säʼ-chete"
"p_dako1258_806","te-mdoʼ","me-chun̤ʼ","me-chun̤ʼ","te-mdoʼ","me-tan̤ʼ-kä","me-sun̤ʼ-kä","e-chaʼ-pan̤-she","she-chayʼ-she","e-chaʼ-pän-she","she-chayʼ-she","e-chayʼ-pän-she","she-chayʼ-she","e-chayʼ-pän-she","she-chayʼ-she","me-chun̤ʼ","te-mdoʼ","me-tän̤ʼ-she","me-sun̤ʼ-kä","me-sun̤ʼ-kä","me-tan̤ʼ-kä","chin-yayʼ","tan̤-kayʼ","tän̤-kayʼ","te-mdoʼ","me-tankʼ-she","me-sun̤ʼ-kä","hän̤-käʼ-she","tan̤-hän̤ʼ-she","hän̤-käʼ-she","tan̤-han̤ʼ-she","hän̤-käʼ-she","tan̤-hän̤ʼ-she","hän̤-käʼ-she","tan̤-hän̤ʼ-she","tän̤-kayʼ","chin̤-yayʼ","me-tänkʼ-she","me-sun̤ʼ-kä","me-sun̤ʼ-kä","me-tänkʼ-she"
"p_dako1258_808","tibʼ-a-do","tänʼ-ka","tanʼ-ka","tibʼ-a-do","me-tänʼ-kä","me-sunʼ-ka","a-cha-päʼ-she","she-chaʼ-she","a-cha-päʼ-zhe","she-chaʼ-she","ah-chaʼ-pä-she","she-chaʼ-she","ah-chaʼ-pä-zhe","she-chaʼ-she","tanʼ-ka","tibʼ-a-do","me-tänʼ-kä","me-sunʼ-kä","me-sunʼ-ka","me-täuʼ-kä","cheʼ-a","tankʼ-she","tankʼ-she","tibʼ-a-do","me-tänkʼ-she","me-sunʼ-kä","hä-käʼ-she","täʼ-she","hä-käʼ-she","täʼ-she","hä-käʼ-she","täʼ-she","hä-käʼ-she","täʼ-she","tankʼ-she","cheʼ-a","me-tänkʼ-she","me-sunʼ-kä","me-sunʼ-kä","me-tänkʼ-she"
"p_dako1258_810","chimʼ-a-do","chu-ihʼ","chu-ihʼ","chimʼ-a-do","me-tun̤ʼ-kä","me-sohʼ-kä","chaʼ-pä-she","she-chäʼ-she","chaʼ-pä-she","she-chäʼ-she","e-cha-päʼ-she","she-chäʼ-she","e-cha-päʼ-she","she-chäʼ-she","chu-ihʼ","chimʼ-a-do","me-tun̤ʼ-she","me-sohʼ-kä","me-sohʼ-kä","me-tun̤ʼ-kä","che-aʼ","ton-kaʼ","ton-kaʼ","chimʼ-a-do","me-tänkʼ-she","me-sohʼ-kä","hä-käʼ-she","täʼ-she","hä-käʼ-she","täʼ-she","hä-käʼ-she","täʼ-she","hä-käʼ-she","täʼ-she","ton-kaʼ","che-aʼ","me-tänkʼ-she","me-sohʼ-kä","me-sohʼ-kä","me-tänkʼ-she"
"p_dako1258_811","tibʼ-e-do","me-taukʼ-a-do","me-tank-a-do","tibʼ-a-do","me-tänkʼ-a-do","me-sunkʼ-ä","päʼ-zha","sheʼ-chaʼ-ze","päʼ-zha","sheʼ-chäʼ-ze","päʼ-zha","she-chaʼ-ze","päʼ-zhe","she-chaʼ-ze","me-tankʼ-a-do","tibʼ-e-do","me-tankʼ-ä-do","me-sunkʼ-ä","me-sunkʼ-ä","me-tankʼ-a-do","cheʼ-a","tankʼ-she","tankʼ-she","tibʼ-a-do","me-tankʼ-she","me-sunkʼ-ä","ah-käʼ-zha","käʼ-zha","ah-käʼ-zha","hä-käʼ","ah-käʼ-zha","käʼ-zha","ah-käʼ-zha","käʼ-zha","tankʼ-she","cheʼ-a","me-tänkʼ-she","me-sunkʼ-ä","me-sunkʼ-ä","me-tänkʼ-she"
